Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6792458,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"Alexander, Michelle",,"=""1595581030""","=""9781595581037""",5,4.50,The New Press,Hardcover,290,2010,2010,2017/10/19,2017/10/12,favs-fam,favs-fam (#27),read,"This was a challenging book to read because of how unbelievable - but true - it is. I am shook. I realize now that almost everything I've said about our criminal justice system was ignorant and/or uninformed. What hits me hardest is that it is explicitly legal to racially profile in policing, that prosecutors have no check on their power, and that the current law-and-order environment will likely preempt any efforts in the near-to-intermediate future to solve these problems or end the drug war that is at their root. Black lives matter; I feel so much more sure about that now.<br/>Now, on to the next couple books. #attampttogetwoke2k17",,,1,,,0,,,,,
13259887,We Learn Nothing,Tim Kreider,"Kreider, Tim",,"=""1439198705""","=""9781439198704""",5,4.16,Free Press,Hardcover,240,2012,2012,2017/11/24,2017/02/08,favs-fam,favs-fam (#26),read,"Dark, honest, touching, and funny. Mostly about his relationships: with friends, with family, and with himself.",,,1,,,1,,,unspecified,,
34623128,The Autobiography of Gucci Mane,Gucci Mane,"Mane, Gucci",Neil Martinez-Belkin,"=""1501165321""","=""9781501165320""",5,4.17,Simon  Schuster,Hardcover,304,2017,,2017/12/03,2017/12/01,favs-fam,favs-fam (#25),read,"No other book has made me listen to all of Gucci Mane's mixtapes like this has.<br/><br/>...but seriously, this is how a modern memoir should be: gripping, personal, honest, narrative-focused, self-aware, and short. Let's get real, famous people: nobody wants to read a long book about your life. In this we don't hear about the gnarly details because he knows we don't really care; we just hear the story of a life.<br/><br/>Most of all, Gucci Mane reveals that he is just a human, albeit one who happens to be a famous rich criminally prolific rapper. He has an ego; he is often hypocritical; his relationships are a rollercoaster of disappointment, abandonment, and reconciliation; he's ashamed of his mistakes and personal failings. He's unabashedly proud of his hard work and his beautiful woman. This reads more like a journal entry or a campfire story than an edited, commercially approved autobiography.<br/><br/>We need more memoirs like this -- preferably that make me want to listen to Gucci Mane's mixtapes.<br/><br/>Definitely do the audiobook.",,,1,,,0,,,,,
7640261,Sex at Dawn: The Prehistoric Origins of Modern Sexuality,Christopher  Ryan,"Ryan, Christopher",Cacilda Jethá,"=""0061707803""","=""9780061707803""",4,4.03,Harper,Hardcover,400,2010,2010,2017/03/23,2017/03/05,,,read,"I loved most of this book, especially the beginning and the end. The middle rambled a bit with anthropological stuff that I found neither interesting nor relevant. But overall anyone who prefers to approach the subject of human sexuality from a realistic, scientific perspective will appreciate this book, regardless of prior belief. The authors pursue the argument that humans are not monogamous creatures from an evolutionary perspective. Physiologically, psychologically, and culturally, humans have never been monogamous and probably never will be - regardless of how much we try to convince ourselves that we should be based on current religious or cultural expectations. The last 25% of the book and especially its discussion of physiological factors is the best part - humorous, engaging, and (like the rest of the book) very tongue-in-cheek.",,,1,,,0,,,,,
33640253,"Thanks, Obama: My Hopey, Changey White House Years",David Litt,"Litt, David",,"=""0062568469""","=""9780062568465""",3,4.16,Ecco,ebook,320,2017,2017,2017/12/05,2017/12/03,,,read,"Some great laughs, but painful to read as Litt follows the same formula again and again: he thought something was going [great / terribly] but suddenly it turned out that it was actually [terrible / great] and it [unalterably decreases his self-worth / makes his low self-worth feel more balanced] but it turned out to be alright in the end. A bit heavy on the snark -- sometimes to great humorous effect -- and a bit lean on the substance.<br/><br/>Great love story with David and Jackie.<br/><br/>I like that Litt doesn't try to take credit for things he didn't do, and makes sure people know that he was a White House staffer who wasn't particularly close to the POTUS for most of his tenure. <br/><br/>I like Obama's narrative more than Litt's. We get a picture of who Obama was to the people he worked with. I feel like I understand how the White House works/worked. <br/><br/>Glad to have read it, but I wouldn't call it a gem.",,,1,,,0,,,,,
25241317,Black Flags: The Rise of ISIS,Joby Warrick,"Warrick, Joby",,"=""0385538227""","=""9780385538220""",0,4.35,Doubleday,ebook,368,2015,2015,,2017/12/04,to-read,to-read (#479),to-read,,,,0,,,0,,,,,
29936927,The Best We Could Do,Thi Bui,"Bui, Thi",,"=""1419718770""","=""9781419718779""",0,4.39,Harry N. Abrams,Hardcover,329,2017,2017,,2017/12/04,to-read,to-read (#478),to-read,,,,0,,,0,,,,,
31850765,Energy and Civilization: A History,Vaclav Smil,"Smil, Vaclav",,"=""0262035774""","=""9780262035774""",0,4.15,Mit Press,Hardcover,568,2017,,,2017/12/04,to-read,to-read (#477),to-read,,,,0,,,0,,,,,
24611840,"Believe Me: A Memoir of Love, Death, and Jazz Chickens",Eddie Izzard,"Izzard, Eddie",,"=""1611764696""","=""9781611764697""",0,3.86,Penguin Audio,Audio CD,15,2017,2017,,2017/12/04,to-read,to-read (#476),to-read,,,,0,,,0,,,,,
28119237,Tribe: On Homecoming and Belonging,Sebastian Junger,"Junger, Sebastian",,"=""1455566381""","=""9781455566389""",4,4.04,Twelve,Hardcover,192,2016,2016,2017/12/03,2017/12/03,,,read,I do like me a short book.,,,1,,,0,,,,,
